# Phenotype data for Lg/Sm mouse advanced intercross line. This table
# includes phenotype data from 3-day fear conditioning study for 490
# mice (249 males and 241 females) from the F2 cross, and 687 mice
# (353 males and 334 females) from the F34 cross. See phenome.jax.org
# for details on the LG/J and SM/J mouse strains.
#
# The table is stored in comma-delimited ("csv") format. Each row
# corresponds to an individual mouse. Missing entries are marked as
# "NA".
# 
# The columns of the table from left to right are:
#
#  (1) id (a unique number assigned to each individual)
#  (2) filial generation (either F2 or F34)
#  (6) litter id
#  (7) litter size  
#  (3) sex (M = male, F = female)
#  (4) coat color (W = white, B = black, A = agouti)
#  (5) age (in days)
#  (6) average proportion of time freezing on Day 1 before mouse is
#      exposed to tones and shocks ("pre-training freezing")
#  (7) average proportion of time freezing on Day 2 in an environment 
#      identical to Day 1 ("freezing to context")
#  (8) average proportion of time freezing on Day 3 in an altered
#      environment, after the tone is presented at the same time as 
#      Day 1 ("freezing to cue")
# 
id,generation,litterid,littersize,sex,coatcolor,age,pretrainfreeze,freezetocontext,freezetocue
635A,F2,1,11,F,B,69,0.0178,0.1872,0.4894
636A,F2,1,11,M,B,69,0.0605,0.0713,0.01785
637A,F2,1,11,F,B,69,0.0231,0.0357,0.16955
638A,F2,1,11,M,B,69,0.0427,0.4688,0.55545
639A,F2,1,11,F,B,69,0.0534,0.0321,0.18665
640A,F2,1,11,F,B,69,0.0658,0.3565,0.63525
641A,F2,1,11,M,B,69,0.0498,0.0945,0.18225
642A,F2,1,11,F,B,69,0.0249,0.1783,0.1023
643A,F2,1,11,M,B,69,0.0338,0.2424,0.45745
646A,F2,1,12,F,B,68,0.0178,0.048,0.0222
647A,F2,1,12,M,B,68,0.0445,0.0374,0.0401
648A,F2,1,12,M,B,68,0.0302,0.0036,0.0847
649A,F2,1,12,F,B,68,0.0142,0.1085,0.4093
650A,F2,1,10,F,B,67,0.0089,0.048,0.15155
651A,F2,1,10,M,B,67,0.0267,0.0179,0.0177
652A,F2,1,10,M,B,67,0.0231,0.0142,0.32565
653A,F2,1,10,F,B,67,0.0231,0.2598,0.263
654A,F2,1,10,F,B,67,0.0089,0.1192,0.7597
655A,F2,1,10,M,W,67,0.0231,0.1601,0.5685
656A,F2,1,10,F,W,67,0.0125,0.0249,0.392
657A,F2,1,10,M,W,67,0.0214,0.0374,0.20075
658A,F2,1,10,M,B,67,0.0302,0.1263,0.0929
659A,F2,1,10,F,W,67,0,0.0178,0.46305
660A,F2,1,8,M,B,67,0.0427,0.225,0.2176
661A,F2,1,8,M,B,67,0.0498,0.2811,0.11155
662A,F2,1,8,M,B,67,0.0089,0.0231,0.4758
663A,F2,1,8,M,B,67,0.0196,0.1464,0.04875
664A,F2,1,8,M,W,67,0.0552,0.1228,0.3159
665A,F2,1,8,M,W,67,0.0125,0,0.17405
666A,F2,1,8,M,W,67,0.0819,0.2865,0.6628
667A,F2,1,8,M,W,67,0.0214,0.2179,0.2229
668A,F2,1,8,F,W,67,0.0053,0.0302,0.4141
669A,F2,1,8,F,W,67,0.0089,0.1139,0.5035
670A,F2,1,12,M,B,68,0.0125,0.2135,0.14225
671A,F2,1,12,M,B,68,0.0178,0.073,0.05355
672A,F2,1,12,M,B,68,0.0302,0.0801,0.41775
673A,F2,1,12,M,B,68,0.0996,0.226,0.11595
674A,F2,1,12,M,B,68,0.0071,0.0285,0.1203
675A,F2,1,12,F,B,68,0.0071,0.2171,0.503
676A,F2,1,12,F,W,68,0.0231,0.1833,0.34695
677A,F2,1,12,F,W,68,0.0249,0.0285,0.276
680A,F2,1,8,F,B,67,0.0338,0.1957,0.39545
681A,F2,1,8,M,B,67,0.0285,0.137,0.3334
682A,F2,1,8,F,B,67,0.0036,0.0427,0.14725
683A,F2,1,8,M,B,67,0.0196,0.0943,0.32015
684A,F2,1,12,M,B,66,0.0214,0.2117,0.56345
685A,F2,1,12,M,B,66,0.0623,0.1228,0.2226
686A,F2,1,12,F,B,66,0.0107,0.1352,0.1784
687A,F2,1,12,F,B,66,0.0463,0.1833,0.27175
688A,F2,1,8,M,B,67,0.0392,0.2313,0.2541
690A,F2,1,12,F,B,66,0.0498,0.3132,0.5116
691A,F2,1,12,M,B,66,0.0658,0.1174,0.15625
692A,F2,1,12,M,B,66,0.0356,0.2367,0.0668
693A,F2,1,12,M,B,66,0.0196,0.032,0.13745
694A,F2,1,12,M,W,66,0.0071,0.0836,0.11985
695A,F2,1,12,M,W,66,0.0285,0.0142,0.4444
696A,F2,1,12,M,W,66,0.0178,0.032,0.36945
697A,F2,1,14,M,B,66,0.0605,0.1068,0.15165
698A,F2,1,14,M,B,66,0.0747,0.325,0.25315
699A,F2,1,14,M,B,66,0.0214,0.3875,0.4892
700A,F2,1,14,F,B,66,0.032,0.2438,0.1336
701A,F2,1,14,M,B,66,0.0747,0.331,0.40015
702A,F2,1,14,M,B,66,0.0427,0.0786,0.2453
703A,F2,1,14,F,B,66,0.0142,0.0321,0.125
704A,F2,1,14,M,B,66,0.0196,0.0107,0.12055
705A,F2,1,14,M,B,66,0.0427,0.137,0.4137
706A,F2,1,14,M,B,66,0.0516,0.0569,0.0755
707A,F2,1,14,F,B,66,0.0338,0.1429,0.27625
708A,F2,1,14,F,W,66,0,0.0446,0.4632
709A,F2,1,11,M,A,66,0.0765,0.1833,0.499
710A,F2,1,11,F,A,66,0.0178,0.1655,0.04885
711A,F2,1,11,F,A,66,0.0267,0.3339,0.6229
712A,F2,1,11,F,A,66,0.0534,0.0875,0.49775
715A,F2,1,11,M,A,66,0.0516,0.0623,0.00895
717A,F2,1,11,F,B,66,0.0071,0.0891,0.1557
718A,F2,1,11,F,B,66,0.0498,0.1266,0.51225
720A,F2,1,11,F,W,66,0.0249,0.0339,0.19165
722A,F2,1,11,F,W,66,0.0089,0.041,0.26245
723A,F2,1,11,M,A,66,0.0658,0.1444,0.5164
724A,F2,1,11,M,A,66,0.0819,0.0982,0.1915
725A,F2,1,11,M,A,66,0.0516,0.041,0.0759
726A,F2,1,11,M,B,66,0.1263,0.0321,0.0625
727A,F2,1,11,F,B,66,0.0036,0.4093,0.27975
728A,F2,1,11,M,B,66,0.0498,0.0339,0.27655
729A,F2,1,11,F,B,66,0.0498,0.2046,0.45765
730A,F2,1,11,F,B,66,0.0374,0.0979,0.0535
731A,F2,1,11,M,B,66,0.0498,0.1783,0.0893
732A,F2,1,11,M,B,66,0.016,0.0303,0.0979
733A,F2,1,11,F,W,66,0.0178,0.0427,0.07125
734A,F2,1,7,F,B,63,0.0302,0.1622,0.3559
735A,F2,1,7,M,B,63,0.0356,0.0232,0.04005
736A,F2,1,7,F,B,63,0.0302,0.3494,0.4271
737A,F2,1,7,F,B,63,0.0267,0.5526,0.24085
738A,F2,1,7,M,B,63,0.032,0.1089,0.0625
739A,F2,1,7,M,W,63,0.0267,0.1482,0.2093
740A,F2,1,7,F,W,63,0.0445,0.2282,0.8093
741A,F2,1,9,F,B,71,0.105,0.1569,0.2629
742A,F2,1,9,M,B,71,0.0196,0.169,0.28885
744A,F2,1,9,F,B,71,0.0516,0.4135,0.1067
746A,F2,1,9,M,B,71,0.0784,0.153,0.4363
747A,F2,1,9,M,B,71,0.0731,0.032,0.12925
749A,F2,1,9,F,W,71,0.0071,0.1052,0.59065
750A,F2,1,9,M,W,71,0.0196,0.1815,0.7027
773A,F2,2,14,M,W,57,0.0214,0,0.08035
774A,F2,2,14,M,W,57,0.0232,0.0732,0.1961
775A,F2,2,14,M,W,57,0.0463,0.0841,0.15165
776A,F2,2,14,F,W,57,0.016,0.0178,0.0886
777A,F2,2,11,F,B,61,0.0036,0.0231,0.05335
779A,F2,2,11,F,B,61,0.0357,0.0605,0.21305
780A,F2,2,11,F,W,61,0.0374,0.0605,0.52955
781A,F2,2,11,F,B,61,0.0231,0.2562,0.32455
782A,F2,2,11,F,B,61,0.0445,0.0552,0.0535
783A,F2,2,11,M,B,61,0,0.2989,0.16965
784A,F2,2,11,M,B,61,0.0854,0.089,0.0759
785A,F2,2,11,M,B,61,0.0214,0.1548,0.41075
786A,F2,2,11,M,B,61,0.0463,0.0996,0.1071
787A,F2,2,11,M,W,61,0.016,0.0302,0.6668
788A,F2,2,14,F,B,60,0.016,0.2086,0.56015
789A,F2,2,14,F,B,60,0.0036,0.0909,0.6179
790A,F2,2,14,F,B,60,0.0303,0.0321,0.23165
791A,F2,2,14,F,W,60,0.0143,0.1087,0.214
792A,F2,2,14,F,W,60,0.016,0.1337,0.48005
793A,F2,2,14,M,B,60,0.089,0.1016,0.56075
794A,F2,2,14,M,B,60,0.0534,0.1016,0.6495
795A,F2,2,14,M,B,60,0.0071,0.2776,0.5154
796A,F2,2,14,F,B,60,0.016,0.0712,0.0489
797A,F2,2,14,M,B,60,0.025,0.0801,0.06665
798A,F2,2,14,F,B,60,0,0.1252,0.32885
800A,F2,2,14,F,W,60,0.0089,0.1586,0.1842
801A,F2,2,14,M,W,60,0,0.0642,0.3787
803A,F2,2,8,F,A,60,0.0516,0.1335,0.18265
804A,F2,2,8,F,W,60,0.0089,0.0943,0.18225
805A,F2,2,8,F,W,60,0.0107,0.0872,0.25825
806A,F2,2,8,M,A,60,0.0178,0.3868,0.6034
807A,F2,2,8,M,B,60,0.0374,0.2781,0.6583
808A,F2,2,8,M,B,60,0.0801,0.123,0.08895
809A,F2,2,8,M,W,60,0.0053,0.0392,0.46725
811A,F2,2,16,M,B,66,0.0427,0.2189,0.6027
812A,F2,2,16,M,B,66,0.0517,0.169,0.62945
813A,F2,2,16,M,B,66,0.0658,0.105,0.4152
814A,F2,2,16,M,B,66,0.0463,0.1192,0.0759
815A,F2,2,16,M,B,66,0.0374,0.2349,0.37945
816A,F2,2,16,F,B,66,0.0498,0.137,0.1875
817A,F2,2,16,M,B,66,0.0783,0.1263,0.25445
818A,F2,2,16,M,B,66,0.0569,0.3434,0.70535
819A,F2,2,16,M,B,66,0.0623,0.2171,0.7634
820A,F2,2,16,M,B,66,0.073,0.2687,0.5402
821A,F2,2,16,M,W,66,0.0214,0.0605,0.66075
822A,F2,2,16,F,W,66,0.0018,0.0445,0.41965
823A,F2,2,16,F,W,66,0.0018,0.016,0.41965
824A,F2,2,16,M,W,66,0.0249,0.0071,0.26785
825A,F2,2,16,F,W,66,0.0142,0.0285,0.14285
826A,F2,2,16,F,W,66,0.016,0.0267,0.183
827A,F2,3,13,F,B,59,0.0391,0.0676,0.22875
828A,F2,3,13,F,B,59,0.0819,0.1085,0.6607
829A,F2,3,13,M,B,59,0.0357,0.0392,0.29465
830A,F2,3,13,M,B,59,0.0463,0.1052,0.43895
831A,F2,3,13,M,B,59,0.0108,0.0409,0.03125
832A,F2,3,13,M,B,59,0.0323,0.0516,0.4375
833A,F2,3,13,F,B,59,0.048,0.1121,0.20695
834A,F2,3,13,M,B,59,0.0663,0.1228,0.6786
835A,F2,3,13,F,B,59,0.048,0.1192,0.5866
836A,F2,3,13,F,B,59,0.0747,0.1014,0.2857
837A,F2,3,13,F,B,59,0.0391,0.1263,0.27365
838A,F2,3,13,F,B,59,0.0427,0.0658,0.21425
839A,F2,3,13,M,B,59,0.0642,0.2157,0.2348
840A,F2,3,8,F,A,59,0.0783,0.1619,0.1875
841A,F2,3,8,F,B,59,0.0907,0.0854,0.125
842A,F2,3,8,F,B,59,0.0393,0.2883,0.6161
844A,F2,3,8,M,B,59,0.0305,0.0569,0.0893
845A,F2,3,8,M,W,59,0.0267,0.0249,0.5045
846A,F2,3,8,F,W,59,0.0178,0.1103,0.84375
848A,F2,3,13,F,B,58,0.0481,0.066,0.334
850A,F2,3,13,F,B,58,0.0409,0.1157,0.2366
851A,F2,3,13,M,B,58,0.0676,0.0658,0.1384
852A,F2,3,13,F,B,58,0.0801,0.0925,0.62945
853A,F2,3,13,F,B,58,0.0589,0.0374,0.1027
854A,F2,3,13,M,B,58,0.0463,0.1192,0.2723
855A,F2,3,13,F,B,58,0.0446,0.153,0.44645
856A,F2,3,13,F,B,58,0.0321,0.1246,0.3884
857A,F2,3,13,F,B,58,0.0285,0.0623,0.1875
858A,F2,3,13,F,W,58,0.0125,0.0249,0.18305
859A,F2,3,13,M,W,58,0.0214,0.0463,0.48215
860A,F2,3,13,F,W,58,0.0196,0.0658,0.1875
861A,F2,2,14,M,B,57,0.032,0.0463,0.4107
862A,F2,2,14,M,B,57,0.0409,0.1993,0.4241
863A,F2,2,14,M,B,57,0.0214,0.0713,0.13395
864A,F2,2,14,F,B,57,0.0285,0.2687,0.66965
865A,F2,2,14,M,B,57,0.073,0.1192,0.2143
866A,F2,2,14,M,B,57,0.1157,0.1406,0.20085
867A,F2,2,14,M,B,57,0.0249,0.0907,0.5714
868A,F2,2,14,M,B,57,0.0712,0.1747,0.21425
869A,F2,2,14,M,B,57,0.0641,0.1373,0.02675
870A,F2,2,14,F,B,57,0.0356,0.0641,0.54915
871A,F2,2,14,M,B,57,0.032,0.1676,0.43305
872A,F2,2,14,F,W,57,0.0125,0.0836,0.51785
873A,F2,2,14,F,W,57,0.0107,0.0214,0.37055
874A,F2,2,14,M,W,57,0.0107,0.0249,0.2232
921A,F2,3,12,F,B,68,0.0409,0.0498,0
922A,F2,3,12,F,B,68,NA,NA,NA
923A,F2,3,12,M,B,68,0.0302,0.1818,0.1203
924A,F2,3,12,F,B,68,0.0231,0.3256,0.23185
925A,F2,3,12,M,B,68,0,0.0694,0.2405
926A,F2,3,12,M,B,68,0.0535,0.0516,0.20535
927A,F2,3,12,M,B,68,0.0125,0.107,0.55075
928A,F2,3,12,M,B,68,0.0339,0.0552,0.2497
929A,F2,3,12,M,B,68,0.0107,0.0587,0.0579
930A,F2,3,12,F,W,68,0.0089,0.226,0.52035
931A,F2,3,12,M,W,68,0.0178,0.057,0.40995
932A,F2,3,12,F,W,68,0.0036,0.0302,0.4801
933A,F2,3,7,M,B,67,0.032,0.0178,0.0223
934A,F2,3,7,F,B,67,0.048,0.1982,0.19155
935A,F2,3,7,F,B,67,0.0623,0.2339,0.6893
937A,F2,3,7,F,B,67,0.0391,0.1159,0.29745
938A,F2,3,7,F,W,67,0.0285,0.5847,0.4533
939A,F2,3,7,M,W,67,0.0409,0.0374,0.2005
940A,F2,2,11,F,B,65,0.0089,0.0907,0.1652
942A,F2,2,11,F,B,65,0.0231,0.3826,0.2002
943A,F2,2,11,M,B,65,0.0071,0.29,0.54685
944A,F2,2,11,F,B,65,NA,NA,NA
945A,F2,2,11,F,B,65,NA,NA,NA
946A,F2,2,11,F,W,65,NA,NA,NA
947A,F2,2,11,M,W,65,NA,NA,NA
948A,F2,2,11,F,W,65,NA,NA,NA
949A,F2,2,11,F,W,65,0.0089,0.2865,0.3032
950A,F2,2,11,F,W,65,0.0071,0.1637,0.4133
952A,F2,2,14,M,A,64,0.0982,0.0911,0.1874
953A,F2,2,14,F,A,64,0.0534,0.1886,0.61855
954A,F2,2,14,M,A,64,NA,NA,NA
955A,F2,2,14,M,A,64,0.0854,0.0427,0.0845
956A,F2,2,14,F,A,64,NA,NA,NA
957A,F2,2,14,M,A,64,NA,NA,NA
958A,F2,2,14,M,A,64,NA,NA,NA
959A,F2,2,14,M,B,64,0.0285,0.0804,0.04455
960A,F2,2,14,F,B,64,0.0089,0.0676,0.2407
961A,F2,2,14,F,W,64,NA,NA,NA
962A,F2,2,14,F,W,64,0.0178,0.016,0.573
963A,F2,2,14,M,W,64,NA,NA,NA
970A,F2,3,12,F,B,55,0.0089,0.0872,0.30265
971A,F2,3,12,M,B,55,NA,NA,NA
972A,F2,3,12,F,B,55,0,0.4858,0.608
973A,F2,3,12,M,B,55,0.016,0.032,0.1828
974A,F2,3,12,M,B,55,0.0658,0.1726,0.2855
975A,F2,3,12,F,B,55,NA,NA,NA
976A,F2,3,12,F,B,55,0.0196,0.0801,0.23115
977A,F2,3,12,F,B,55,0.0765,0.0854,0.56435
978A,F2,3,12,M,B,55,NA,NA,NA
979A,F2,3,12,F,B,55,0.05,0.0641,0.1247
980A,F2,3,12,M,W,55,0.0071,0.0943,0.40955
981A,F2,3,12,F,W,55,0,0.0589,0.25
982A,F2,1,11,M,B,65,0.0894,0.3096,0.15625
983A,F2,1,11,F,B,65,0.0463,0.1477,0.3348
984A,F2,1,11,M,B,65,0.032,0.0605,0.0982
985A,F2,1,11,M,B,65,0.0465,0.2918,0.5848
986A,F2,1,11,M,B,65,0.0555,0.3185,0.19645
987A,F2,1,11,M,B,65,0.0534,0.0907,0.1964
988A,F2,1,11,M,B,65,0.0572,0.1993,0.2946
989A,F2,1,11,M,W,65,0.0214,0.0569,0.5893
990A,F2,1,11,M,W,65,0.016,0.0409,0.125
991A,F2,1,11,F,W,65,0.0196,0.0783,0.34375
992A,F2,1,11,F,W,65,0.0285,0.0854,0.33035
993A,F2,4,13,F,B,64,0.0285,0.0979,0.3929
994A,F2,4,13,F,B,64,0.0445,0.0872,0.50895
995A,F2,4,13,M,B,64,0.0267,0.4128,0.62095
996A,F2,4,13,F,B,64,0.0427,0.0961,0.1071
997A,F2,4,13,F,B,64,0.0196,0.169,0.3705
998A,F2,4,13,M,B,64,0.0624,0.1779,0.27995
999A,F2,4,13,M,B,64,0.0909,0.4395,0.75755
1000A,F2,4,13,F,B,64,0.0712,0.1085,0.22325
1001A,F2,4,13,F,B,64,0.0676,0.1762,0.5759
1002A,F2,4,13,M,B,64,0.0357,0.306,0.17225
1003A,F2,4,13,F,B,64,0.0427,0.0801,0.125
1004A,F2,4,13,M,B,63,0.0374,0.1014,0.1786
1005A,F2,4,13,M,B,63,0.0836,0.4688,0.4375
1006A,F2,4,13,M,B,63,0.0249,0.2171,0.2589
1007A,F2,4,13,F,B,63,0.0232,0.411,0.625
1008A,F2,4,13,M,B,63,0.1228,0.1619,0.40625
1009A,F2,4,13,M,B,63,0.0427,0.3167,0.1607
1010A,F2,4,13,F,B,64,0.0658,0.0996,0.1161
1011A,F2,4,13,M,B,63,0.0338,0.2959,0.80805
1012A,F2,4,13,M,B,63,0.0623,0.3025,0.5893
1013A,F2,4,13,F,B,63,0.0499,0.484,0.7857
1014A,F2,4,13,M,B,63,0.0765,0.1373,0.6696
1015A,F2,4,13,F,W,63,0.0143,0.0374,0.1339
1016A,F2,4,13,M,W,63,0.0196,0.0445,0.3214
1017A,F2,4,13,F,W,63,0.041,0.0569,0.53125
1018A,F2,4,12,F,B,59,0.0552,0.121,0.14735
1019A,F2,4,12,M,B,59,0.0178,0.0712,0.1518
1020A,F2,4,13,F,B,64,0.0516,0.2135,0.18305
1021A,F2,4,12,M,B,59,0.0516,0.2224,0.07145
1022A,F2,4,12,F,B,59,0.0338,0.0943,0.2232
1023A,F2,4,12,M,B,59,0.0587,0.226,0.5848
1024A,F2,4,12,F,B,59,0.0302,0.3808,0.28125
1025A,F2,4,12,F,B,59,0.0214,0.1815,0.3348
1026A,F2,4,12,F,B,59,0.0338,0.032,0.0848
1027A,F2,4,12,F,B,59,0.0498,0.5356,0.8036
1028A,F2,4,12,F,B,59,0.0338,0.1068,0.2098
1029A,F2,4,12,M,W,59,0.0605,0.0747,0.2902
1030A,F2,4,12,M,W,59,0.0125,0.0391,0.125
1031A,F2,4,13,M,B,58,0.0534,0.2242,0.5268
1032A,F2,4,13,F,B,58,0.0374,0.1121,0.74555
1033A,F2,4,13,F,B,58,0.0907,0.1993,0.1116
1034A,F2,4,13,M,B,58,0.0587,0.1779,0.2768
1035A,F2,4,13,M,B,58,0.0587,0.1622,0.31695
1036A,F2,4,13,M,B,58,0.0356,0.0107,0.04015
1037A,F2,4,13,F,B,58,0.0872,0.1441,0.15625
1038A,F2,4,13,M,B,58,0.1032,0.0427,0.18305
1039A,F2,4,13,F,B,58,0.0249,0.1174,0.01785
1040A,F2,4,13,F,W,58,0.0356,0.0391,0.8616
1041A,F2,4,13,F,W,58,0.0249,0.105,0.53125
1042A,F2,4,13,F,W,58,0.0409,0.0231,0.692
1043A,F2,4,13,M,W,58,0.0427,0.1601,0.53125
1044A,F2,4,12,F,B,60,0.0836,0.2509,0.52235
1045A,F2,4,12,M,B,60,0.0338,0.2438,0.32585
1046A,F2,4,12,M,B,60,0.0178,0.0765,0.1518
1047A,F2,4,12,M,B,60,0.0552,0.242,0.42855
1048A,F2,4,12,M,B,60,0.048,0.2206,0.5625
1049A,F2,4,12,F,B,60,0.0747,0.0516,0.24105
1050A,F2,4,12,M,B,60,0.0231,0.1512,0.5223
1051A,F2,4,12,M,B,60,0.0854,0.153,0.2723
1052A,F2,4,12,F,B,60,0.0409,0.3612,0.82585
1053A,F2,4,12,M,B,60,0.0569,0.3167,0.09375
1054A,F2,4,12,F,W,60,0.0498,0.1797,0.7009
1055A,F2,4,12,F,B,60,0.0819,0.2189,0.33035
1056A,F2,2,15,F,B,57,0.0445,0.121,0.25445
1057A,F2,2,15,M,B,57,0.0498,0.1584,0.7589
1058A,F2,2,15,M,B,57,0.0783,0.1085,0.3616
1059A,F2,2,15,F,B,57,0.032,0.2242,0.79465
1060A,F2,2,15,M,B,57,0.048,0.1281,0.12055
1061A,F2,2,15,M,B,57,0.1014,0.1103,0.0491
1062A,F2,2,15,F,B,57,0.0285,0.411,0.8482
1064A,F2,2,15,M,B,57,0.0463,0.1032,0.0268
1065A,F2,2,15,F,W,57,0.0285,0.105,0.71425
1066A,F2,2,15,M,W,57,0.0142,0.1708,0.9821
1067A,F2,2,15,M,W,57,0.032,0.0463,0.5759
1068A,F2,2,15,F,W,57,0.0374,0.1637,0.78125
1069A,F2,2,15,F,W,57,0.0285,0.0712,0.46425
1070A,F2,2,15,F,W,57,0.0178,0.1495,0.70535
1071A,F2,3,13,F,B,69,0.0214,0.1851,0.8214
1072A,F2,3,13,M,B,69,0.0107,0.5641,0.30805
1073A,F2,3,13,M,B,69,0.0285,0.242,0.30355
1074A,F2,3,13,M,B,69,0.0302,0.0943,0.07145
1075A,F2,3,13,F,B,69,0.0907,0.105,0.74105
1076A,F2,3,13,M,B,69,0.0498,0.4555,0.5893
1077A,F2,3,13,M,B,69,0.073,0.048,0.0893
1078A,F2,3,13,M,B,69,0.1103,0.0676,0.44195
1079A,F2,3,13,M,W,69,0.0302,0.048,0.1384
1080A,F2,3,13,M,W,69,0.0338,0.0658,0.19195
1081A,F2,3,13,M,W,69,0.0356,0.048,0.20985
1082A,F2,3,13,F,W,69,0.0231,0.0836,0.7143
1083A,F2,3,13,F,B,69,0.0569,0.1868,0.37055
1085A,F2,5,17,F,B,66,0.0587,0.0713,0.7723
1086A,F2,5,17,M,B,66,0.0463,0.1637,0.6429
1088A,F2,5,17,M,B,66,0.0801,0.0694,0.3036
1089A,F2,5,17,M,B,66,0.0623,0.1655,0.34825
1090A,F2,5,17,F,B,66,0.048,0.3102,0.85715
1091A,F2,5,17,M,B,66,0.1299,0.242,0.48215
1092A,F2,5,17,F,B,66,0.0374,0.0819,0.39285
1093A,F2,5,17,M,B,66,0.0658,0.0463,0.0625
1094A,F2,5,17,F,B,66,0.0694,0.3826,0.37945
1095A,F2,5,17,M,B,66,0.0961,0.2544,0.2768
1096A,F2,5,17,F,B,66,0.0302,0.0712,0.0759
1097A,F2,5,17,M,W,66,0.0569,0.2313,0.91965
1098A,F2,5,17,F,W,66,0.0231,0.0945,0.5
1099A,F2,5,17,F,W,66,0.0231,0.2977,0.9732
1100A,F2,5,17,F,W,66,0.0214,0.1319,0.3259
1101A,F2,4,9,M,A,65,0.0819,0.274,0.41515
1102A,F2,4,9,M,A,65,0.1121,0.3986,0.0848
1103A,F2,4,9,F,A,65,0.0695,0.3007,0.6741
1104A,F2,4,9,F,A,65,0.0838,0.1779,0.10715
1105A,F2,4,9,M,B,65,0.0498,0.1833,0.60265
1106A,F2,4,9,M,B,65,0.0765,0.073,0.21875
1107A,F2,4,9,M,B,65,0.0374,0.4039,0.3214
1108A,F2,4,9,F,B,65,0.0267,0.1922,0.10265
